S.NO.,Product Name ,Product Specifications,Manufacture,Qty,Price,GST
253,DISSECTING SCISSORS (METZENBAUM FINE STR),"28cm/ 11""",,1,858,12%
254,DISSECTING SCISSORS (METZENBAUM FINE STR),"30cm/ 12""",,1,858,12%
255,DISSECTING SCISSORS (METZENBAUM FINE CVD),"10cm/ 4""",,1,343.2,12%
256,DISSECTING SCISSORS (METZENBAUM FINE CVD),"12cm/ 5""",,1,316.8,12%
257,DISSECTING SCISSORS (METZENBAUM FINE CVD),"15cm/ 6""",,1,316.8,12%
258,DISSECTING SCISSORS (METZENBAUM FINE CVD),"18cm/ 7""",,1,448.8,12%
259,DISSECTING SCISSORS (METZENBAUM FINE CVD),"20cm/ 8""",,1,448.8,12%
260,DISSECTING SCISSORS (METZENBAUM FINE CVD),"23cm/ 9""",,1,580.8,12%
261,DISSECTING SCISSORS (METZENBAUM FINE CVD),"25cm/ 10""",,1,726,12%
262,DISSECTING SCISSORS (METZENBAUM FINE CVD),"28cm/ 11""",,1,858,12%
263,DISSECTING SCISSORS (METZENBAUM FINE CVD),"30cm/ 12""",,1,858,12%
264,STEVENS (VESSEL AND TENDON SCISSORS STR),"11cm/4 1/4""",,1,594,12%
265,STEVENS (VESSEL AND TENDON SCISSORS CVD),"11cm/4 1/4""",,1,594,12%
266,STEVENS (VESSEL AND TENDON SCISSORS STR),"11cm/4 1/4""",,1,594,12%
267,STEVENS (VESSEL AND TENDON SCISSORS CVD),"11cm/4 1/4""",,1,594,12%
268,DELICATE SCISSORS FINE PATTERNS (STRABISMUS STR),"11.5cm/4 1/2""",,1,594,12%
269,DELICATE SCISSORS FINE PATTERNS (STRABISMUS CVD),"11.5cm/4 1/2""",,1,594,12%
270,DELICATE SCISSORS FINE PATTERNS (ENUCLEATION CVD),"11.5cm/4 1/2""",,1,594,12%
271,SPENCER (LIGATURE SCISSORS),"9cm/3 1/2""",,1,594,12%
272,SPENCER (LIGATURE SCISSORS),"14cm/5 1/2""",,1,594,12%
273,HEATH (LIGATURE SCISSORS),"15cm/ 6""",,1,290.4,12%
274,UNIVERSAL SERRATED (WIRE SCISSORS) ONLY TC,"12cm/4 3/4""",,1,2970,12%
275,DELICATE SCISSORS FINE PATTERNS (KELLY STR),"15cm/6""",,1,330,12%
276,DELICATE SCISSORS FINE PATTERNS (KELLY CVD),"15cm/6""",,1,330,12%
277,NERV-PRAPARIERSCHERE (NERVE DISSECTING SCISSORS STR),"15cm/6""",,1,462,12%
278,NERV-PRAPARIERSCHERE (NERVE DISSECTING SCISSORS CVD),"15cm/6""",,1,462,12%
279,KILNER (FOR UNDERMINING THE SKIN STR),"12cm/ 5""",,1,462,12%
280,KILNER (FOR UNDERMINING THE SKIN STR),"15cm/ 6""",,1,462,12%
281,KILNER (FOR UNDERMINING THE SKIN CVD),"12cm/5""",,1,462,12%
282,KILNER (FOR UNDERMINING THE SKIN CVD),"15cm/ 6""",,1,462,12%
283,DELICATE SCISSORS FINE PATTERNS  (JOSEPH STR),"14cm/5 1/2""",,1,462,12%
284,DELICATE SCISSORS FINE PATTERNS  (JOSEPH CVD),"14cm/5 1/2""",,1,462,12%
285,DELICATE SCISSORS FINE PATTERNS  (GORNEY STR ),"19.5cm/7 3/4""",,1,858,12%
286,DELICATE SCISSORS FINE PATTERNS  (GORNEY CVD),"19.5cm/7 3/4""",,1,858,12%
287,DELICATE SCISSORS FINE PATTERNS  (BONN STR),"9cm/3 1/2""",,1,462,12%
288,DELICATE SCISSORS FINE PATTERNS  (BONN STR),"11.5cm/4 1/2""",,1,462,12%
289,DELICATE SCISSORS FINE PATTERNS  (BONN CVD),"9cm/3 1/2""",,1,462,12%
290,DELICATE SCISSORS FINE PATTERNS  (BONN CVD),"11.5cm/4 1/2""",,1,462,12%
291,DIETHRICH-HEGEMANN(VESSEL SCISSORS)(25?),"17.5cm/ 7""",,1,726,12%
292,DIETHRICH-HEGEMANN(VESSEL SCISSORS)(45?),"17.5cm/ 7""",,1,726,12%
293,DIETHRICH-HEGEMANN(VESSEL SCISSORS)(60?),17.5cm,,1,726,12%
294,DIETHRICH (VESSEL SCISSORS) (90?),"17.5cm/ 7""",,1,726,12%
295,DIETHRICH (VESSEL SCISSORS) (125?),"17.5cm/ 7""",,1,726,12%
296,FAVOLORO (CORONARY ARTERY SCISSORS),"16cm/6 1/4""",,1,1122,12%
297,POTTS-DE-MARTEL (VESSEL SCISSORS)  (25?),"19cm/7 1/2""",,1,726,12%
298,POTTS-DE-MARTEL (VESSEL SCISSORS)  (40?),"19cm/7 1/2""",,1,726,12%
299,POTTS-DE-MARTEL (VESSEL SCISSORS)  (60?),"19cm/7 1/2""",,1,726,12%
300,SCHMIEDEN-TAYLOR,"15cm/ 6""",,1,858,12%
301,BOZEMANN (S SHAPED),"20cm/ 8""",,1,1122,12%
302,BOZEMANN (S SHAPED),"23cm/ 9""",,1,1254,12%
303,OLIVECRONA,"23cm/ 9""",,1,5610,12%
304,LA GRANGE,"11cm/4 3/4""",,1,594,12%
305,REYNOLDS CVD,"13cm/ 5""",,1,594,12%
306,REYNOLDS CVD,"15cm/ 6""",,1,594,12%
307,REYNOLDS CVD,"18cm/ 7""",,1,726,12%
308,SCHMIEDEN-TAYLOR (DURA SCISSORS),"17cm/6 3/4""",,1,726,12%
309,STRULLY CVD,"22cm/8 1/2""",,1,990,12%
310,TOENNIS-ADSON,"17.5cm/ 7""",,1,726,12%
311,DEAN,"17cm/6 3/4""",,1,594,12%
312,HEYMANN-KNIGHT,"18cm/ 7""",,1,1650,12%
313,COTTLE,"16cm/6 1/2""",,1,1650,12%
314,SCISSORS (MOD. USA) UMBILICAL SCISSORS,"10.5cm/4 1/4""",,1,250.8,12%
315,BUSCH (UNBILICAL SCISSORS),"16cm/6 1/4""",,1,330,12%
316,TAYLOR (BANDAGE CUTTING SCISSORS),"20cm/ 8""",,1,990,12%
317,LISTER (BANDAGE SCISSORS),"18cm/ 7""",,1,343.2,12%
318,WALDMANN (EPISIOTOMY SCISSORS),"18cm/7 1/4""",,1,343.2,12%
319,BRAUN-STADLER (EPISIOTOMY SCISSORS),"14.5cm/5 1/2""",,1,290.4,12%
